#{"t_start": 1762112702.3249393, "env_id": "None"}
r,l,t
-2144.793728,1555,6.11347
317.008657,414,7.638558
-2040.742263,1880,11.311462
-260.689693,340,17.955981
-881.590936,1374,20.761246
-2063.472367,1934,24.492054
474.747929,417,25.990877
83.393401,340,33.33508
483.371382,340,34.808306
-2671.203477,1556,38.230222
-626.645428,1068,40.881478
204.921937,340,42.435402
-1694.339362,689,44.435284
56.77895,425,52.132205
-2546.375987,763,54.220057
-852.416871,2700,58.846699
-1204.609068,417,65.230067
-729.230775,340,66.670238
-2229.606484,1718,70.168647
-2278.713846,414,71.670998
-618.072806,841,73.849794
656.461752,414,75.394158
-2496.644803,2700,85.243015
-890.366882,1881,93.727628
279.736756,340,95.216383
-2522.64512,1317,98.016362
-1090.196165,2602,107.971268
-1516.521976,436,109.595881
-2082.198252,2049,113.599393
-485.561927,414,115.158113
-1252.577475,340,116.566818
-2509.23586,2700,126.860864
-3218.663922,1326,129.617246
-1510.158607,2586,138.800748
-376.911921,414,140.292583
-1252.7908,804,142.346161
-1622.076409,1349,149.916913
-2883.649501,1101,152.366363
-291.440941,2635,162.475943
99.7304,340,163.814326
806.443122,414,165.256123
-101.801854,340,166.59554
1053.10273,413,168.042957
87.338426,340,169.354845
-3594.752725,2262,177.873204
-1126.157268,834,179.894394
-2206.209555,1459,182.702826
42.303254,414,184.146972
-534.151692,1487,192.872621
-3.988118,340,194.285289
-1506.626861,1320,197.23994
-1248.934892,1480,200.188257
228.716747,340,201.684262
-928.186254,2382,211.800103
-766.015854,340,213.200381
-398.430175,340,214.674305
-1586.868189,1428,223.110718
-1272.080778,411,224.62536
-1534.341692,2428,229.004635
-92.268975,340,230.363397
674.376252,340,231.735059
-157.3216,340,233.164515
-1376.61507,1049,240.710428
-3695.753214,2013,244.53899
359.195349,423,246.090277
44.258879,2269,264.599007
-245.164764,340,266.884656
-1578.251463,1266,271.529348
-1405.197713,2231,291.463765
-1328.778398,1853,298.557739
-987.534214,414,301.074599
-1161.527722,2700,321.471225
-6.332086,340,323.894253
-1580.297346,989,328.087246
773.612254,340,330.488062
-161.932901,426,344.310229
-636.984286,426,346.878706
-3352.132231,2258,354.309156
1109.949706,414,356.89957
-546.347009,340,359.315674
-2191.903475,1472,376.318308
-1406.219863,1368,381.505718
-3399.639027,1832,399.207846
-1189.454677,2210,406.764567
-2168.594159,746,410.258224
-2089.237711,2700,430.309047
-2162.726285,1412,435.656639
145.381845,340,437.958381
-167.945851,340,440.320718
-35.112411,340,442.67473
-1173.249849,2182,463.982169
83.607049,340,466.392714
79.088354,414,469.02143
-1112.001156,1213,484.189579
-1126.857232,1445,489.417917
-1118.354728,1620,495.348886
-1552.567832,1378,511.536855
-1164.171632,1276,516.195383
-593.579463,340,518.552408
75.087647,340,521.016784
38.343079,414,523.509686
-375.279111,340,525.818559
521.695171,340,527.951391
-467.055231,340,530.319266
648.548765,425,543.603509
-269.63821,414,546.421963
441.199126,340,548.985422
-2315.973997,414,551.576418
77.836935,2629,559.853223
-174.482064,340,572.812868
410.79118,344,575.174772
-1231.581475,693,578.535074
-1463.484428,1535,584.202742
446.505128,340,586.602839
409.159421,340,588.973714
-85.289835,340,591.340955
50.257332,346,593.737103
-2080.44599,981,608.300815
-1475.664908,1889,614.661863
119.788247,2700,634.189174
320.621199,414,636.779579
-821.862155,755,640.32187
-2644.835111,2693,660.072848
-132.429299,414,662.653588
-1562.253804,1228,667.5591
-149.715448,340,669.917284
-59.84716,414,672.539662
-397.748419,340,675.000658
-554.864786,340,687.621546
-782.798262,1073,691.886815
-1561.993172,1277,696.80029
762.303301,414,699.411678
-1277.899001,340,701.819551
-1305.174468,1051,717.083904
441.222608,340,719.57382
-1061.741482,2082,726.615329
63.75009,340,729.062747
132.802138,340,731.482966
-413.538138,340,733.888726
-2492.951585,1389,745.599315
-1145.912118,1187,748.34451
-1466.104351,1124,751.012177
-778.956531,340,752.410439
-4665.540323,2062,761.602787
-385.085895,414,763.202901
-2796.047379,1309,766.0058
1404.808018,414,767.604696
-1321.959927,1509,775.64099
-3275.616263,1790,779.429121
-2637.78699,1835,796.763527
493.504237,340,799.293443
-2230.413178,1396,804.386543
-3162.404895,2604,823.905186
655.977978,428,827.435589
1132.001091,340,830.344134
399.021787,340,833.244388
-661.631575,2208,853.27666
518.689364,340,856.195175
808.842887,420,859.195077
298.320019,414,861.815025
-1249.783193,1045,866.248135
635.460765,423,868.940218
-1590.486279,897,873.060111
-697.085139,976,888.475036
-1207.500787,414,891.377078
-485.123576,414,893.887159
-1313.212475,1114,898.245131
25.245449,340,900.560251
